BJT hFE / Ic
Type:	BJT hFE / Ic
Trace:	2N2043Vce=1.0V		2N2043Vce=3.0V		2N2043Vce=5.0V		2N2043Vce=7.0V		2N2043Vce=9.0V		2N404AVce=1.0V		2N404AVce=3.0V		2N404AVce=5.0V		2N404AVce=7.0V		2N404AVce=9.0V		2N526Vce=1.0V		2N526Vce=3.0V		2N526Vce=5.0V		2N526Vce=7.0V		2N526Vce=9.0V		MA287Vce=1.0V		MA287Vce=3.0V		MA287Vce=5.0V		MA287Vce=7.0V		MA287Vce=9.0V	
Tag:	2N2043Vce=1.0V		2N2043Vce=3.0V		2N2043Vce=5.0V		2N2043Vce=7.0V		2N2043Vce=9.0V		2N404AVce=1.0V		2N404AVce=3.0V		2N404AVce=5.0V		2N404AVce=7.0V		2N404AVce=9.0V		2N526Vce=1.0V		2N526Vce=3.0V		2N526Vce=5.0V		2N526Vce=7.0V		2N526Vce=9.0V		MA287Vce=1.0V		MA287Vce=3.0V		MA287Vce=5.0V		MA287Vce=7.0V		MA287Vce=9.0V	
Colour:	Red		DarkRed		Green		Lime		Blue		Cyan		Magenta		Salmon		Gold		DarkGoldenrod		BlueViolet		Teal		SaddleBrown		DarkSlateBlue		DarkOliveGreen		Cyan		Magenta		Salmon		Gold		DarkGoldenrod	
Point	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE	Ic (mA)	hFE
0	0.393629819154739	73.9843761513319	0.457477509975433	85.8143370451846	0.530048489570618	97.4970201406492	0.601301908493042	107.384016595236	0.697571575641632	120.270604744119	0.19862499833107	43.8291516869453	0.22561115026474	49.4038210278882	0.249307751655579	54.4275353007566	0.275803864002228	59.117979798132	0.307562381029129	65.2557443724941	0.206521600484848	39.0091034059096	0.226103723049164	42.0775252762836	0.246348008513451	46.8494802780988	0.265763968229294	50.6205142338853	0.28650039434433	54.1936948028393	0.227588281035423	52.6061723593415	0.269880145788193	61.1714649697008	0.304929912090302	67.4689255256105	0.343766063451767	74.2119117776232	0.400539964437485	81.1799755002982
1	0.558681070804596	75.8537864486294	0.650999486446381	87.100475653984	0.735421299934387	97.8965065255693	0.822965621948242	107.397084757677	0.921866476535797	117.317782482863	0.308221161365509	46.746910219201	0.347059845924377	52.4771610900532	0.381286382675171	56.8703060801254	0.419957190752029	62.0440020380791	0.459287613630295	68.0067411591932	0.300155818462372	41.239860630549	0.333398878574371	45.9344235205244	0.357097208499908	49.4681137002669	0.387209236621857	53.1561912565212	0.42110937833786	57.2358191705424	0.35709547996521	55.3923803120821	0.413540899753571	63.8492907421435	0.458299040794373	69.9645955336275	0.50849175453186	75.515680710173	0.571517109870911	82.1701515266521
2	0.726532697677612	76.685991452512	0.844688475131988	88.6388134837007	0.944575369358063	98.5512269483292	1.05005872249603	107.886820189296	1.1670606136322	117.764862975273	0.429340898990631	49.4272644435507	0.478869736194611	55.1725495746827	0.5280721783638	60.2656810613013	0.569212734699249	65.0284307960722	0.622531354427338	70.4041015866763	0.410742223262787	43.6828101516066	0.450399041175842	48.6653843035815	0.486110985279083	52.4760767941887	0.520504534244537	55.9047503201917	0.558681070804596	59.5681744669405	0.491049557924271	57.6765948253001	0.56295919418335	65.501240013496	0.626318573951721	72.1850264861308	0.684240877628326	78.0500288054908	0.756648182868957	83.8709748161641
3	0.898002862930298	77.4650118123847	1.03853940963745	88.9979888668502	1.16064512729645	99.167095349735	1.28455758094788	108.609181249482	1.4199903011322	118.165214513256	0.55176967382431	51.2371655603602	0.626317739486694	58.4595264938005	0.679139494895935	62.7555992779119	0.734926998615265	67.7955031650895	0.793344438076019	72.7273007796283	0.520998001098633	45.6629401864404	0.575796902179718	50.4767746564018	0.619734406471252	54.1771977685763	0.666305184364319	58.6642905502915	0.712052345275879	62.4502185398819	0.637507259845734	60.0457766846377	0.725874781608582	67.8144817027458	0.790382146835327	73.0586960339192	0.86772632598877	79.506559932213	0.950006067752838	85.712207752848
4	1.07013773918152	77.961171617138	1.23486173152924	89.6690907097679	1.37523126602173	99.5966828890855	1.52053594589233	108.742973021122	1.67505812644958	118.318966469963	0.682103514671326	52.9601141435156	0.769153535366058	59.705705889976	0.840410351753235	65.1230273599285	0.905740082263947	70.2340169870609	0.97650009393692	75.2285874450466	0.642279624938965	47.8469595492013	0.707773804664612	52.899584748073	0.760434567928314	56.790053839898	0.818194091320038	60.7648617759104	0.875132024288177	65.0279024490024	0.781660616397858	61.1770825878704	0.885828137397766	69.1591128152076	0.972551763057709	75.8481996266304	1.05697011947632	81.2181706387603	1.15241539478302	87.0112266613696
5	1.24374854564667	78.5866237743231	1.43479907512665	90.5932317177008	1.59541034698486	99.9103010758636	1.75750279426575	109.324243133642	1.92749512195587	118.422151111819	0.824445009231567	55.0915645925407	0.921046674251556	61.681123149988	1.00858926773071	67.1226940793364	1.08774352073669	72.5051094201364	1.16640269756317	77.5679327671679	0.765536725521088	49.5587714240846	0.847320079803467	54.6340212599058	0.911498486995697	58.900880380328	0.979464054107666	63.1279294702398	1.04709649085999	67.1980765221346	0.929108560085297	62.6748036443745	1.05285656452179	70.9827815188586	1.15142929553986	76.8436970264128	1.24868285655975	82.5116118386614	1.36041939258575	88.7609489254732
6	1.41472446918488	78.8634981301354	1.63424909114838	90.8090041669427	1.81723773479462	100.427073284797	1.9972665309906	109.747510581989	2.18190431594849	118.477742055625	0.956425368785858	56.1398217511311	1.07935178279877	63.3898159907812	1.17397284507751	68.7774878472676	1.26958167552948	74.2890998717012	1.36716592311859	79.655082131461	0.895372927188873	51.101755446123	0.991142749786377	56.2225211923287	1.07046413421631	61.088510630203	1.14649081230164	65.2414688638746	1.2264678478241	69.3980287334605	1.08099663257599	63.926246088769	1.21906340122223	71.6875824583711	1.33639085292816	78.3212626542892	1.44714260101318	83.8535436209997	1.57319664955139	90.0286798603016
